,logFC,PValue,FDR
SCNN1G,4.1,7E-07,0.00013
BMF,2.2,7.5E-07,0.00014
ABCA1,0.8,7.8E-07,0.00014
GEN1,-0.45,8.4E-07,0.00015
BICDL1,1.1,8.7E-07,0.00015
DIO2,-1.2,8.8E-07,0.00015
HIPK2,1.3,8.8E-07,0.00015
PIM3,0.58,9.1E-07,0.00015
CYP1B1,2.9,9.3E-07,0.00015
RFC3,-0.54,9.3E-07,0.00015
KANK2,0.65,9.4E-07,0.00015
PRKCD,0.57,9.5E-07,0.00015
CDC6,-0.54,1E-06,0.00016
CREM,-0.71,1.1E-06,0.00017
GMPR,2.7,1.2E-06,0.00018
IQGAP3,-0.59,1.2E-06,0.00018
LURAP1L,0.63,1.2E-06,0.00018
IQGAP2,0.78,1.3E-06,0.00019
CAVIN2,1.1,1.4E-06,0.00021
MT1X,0.85,1.4E-06,0.00021
IFNAR2,0.47,1.5E-06,0.00022
NYAP1,1.3,1.5E-06,0.00022
CHKA,0.62,1.7E-06,0.00024
ITGA11,-0.73,1.7E-06,0.00024
GLS,0.73,1.9E-06,0.00026
PDE1C,-0.93,2.1E-06,0.00029
TSPAN15,0.61,2.1E-06,0.00029
FST,-2.4,2.3E-06,0.00031
PROSER2,0.57,2.4E-06,0.00033
STAT1,0.6,2.4E-06,0.00033
NNMT,0.68,2.7E-06,0.00036
EXO1,-0.64,2.8E-06,0.00037
MAFK,-0.88,2.9E-06,0.00038
SLCO1B1,-1.1,3.1E-06,4E-04
TSC22D4,0.56,3.7E-06,0.00047
TUBA1A,-0.62,4.7E-06,6E-04
FAM107B,-0.39,4.9E-06,0.00061
EVA1C,-0.62,5.2E-06,0.00065
MAP7,-0.68,5.5E-06,0.00067
PYGB,0.47,5.5E-06,0.00067
AHI1,-0.48,6.2E-06,0.00075
NEURL1,2.7,6.3E-06,0.00076
TUBB,-0.42,7.1E-06,0.00085
SLC6A12,-1.3,7.3E-06,0.00086
SLC9A3R1,-0.47,7.3E-06,0.00086
TNFAIP6,-1.8,7.5E-06,0.00087
IL6R,0.99,7.7E-06,0.00088
MNT,0.58,7.9E-06,9E-04
MXD4,0.57,9.6E-06,0.0011
GINS4,-0.45,1E-05,0.0012
WFDC21P,1.2,1E-05,0.0012
FSTL3,0.48,1.1E-05,0.0012
FSTL4,-1.7,1.1E-05,0.0012
HPGD,0.58,1.1E-05,0.0012
ANKRD12,0.53,1.3E-05,0.0014
CACNA1G,0.78,1.3E-05,0.0014
STC2,2.2,1.3E-05,0.0014
KLF9,1.1,1.4E-05,0.0015
PDE7B,-0.86,1.4E-05,0.0015
HAS3,0.84,1.5E-05,0.0016
VIL1,-1.2,1.6E-05,0.0017
CSRP1,-0.53,1.7E-05,0.0018
TBC1D2B,0.62,1.7E-05,0.0018
ABLIM3,1.5,1.8E-05,0.0018
"1,00 DKK",-0.74,1.8E-05,0.0018
THRA,0.52,1.8E-05,0.0018
TMPO,-0.38,1.8E-05,0.0018
UBL3,0.47,1.8E-05,0.0018
GRAMD1B,-0.56,1.9E-05,0.0018
KIAA0513,1.1,1.9E-05,0.0018
MAP2K2,0.65,2E-05,0.0019
GALNT9,1.7,2.1E-05,0.002
MREG,-0.71,2.1E-05,0.002
MYZAP,1.7,2.1E-05,0.002
TMEM156,1.2,2.1E-05,0.002
LY6D,1.9,2.2E-05,0.002
RAD54L,-0.66,2.2E-05,0.002
SLC19A3,0.75,2.2E-05,0.002
TLE1,0.38,2.2E-05,0.002
TUBA1B,-0.41,2.4E-05,0.0021
LONRF2,-0.77,2.4E-05,0.0022
NR4A3,-1.9,2.4E-05,0.0022
IFIT1,1.3,2.5E-05,0.0022
SLC16A12,2.5,2.5E-05,0.0022
TAFA5,-0.91,2.5E-05,0.0022
AVPI1,-0.62,2.8E-05,0.0024
LPCAT3,0.55,2.8E-05,0.0024
TPPP3,-0.89,2.8E-05,0.0024
CAV1,0.42,2.9E-05,0.0024
BCO1,-0.84,2.9E-05,0.0025
EHD4,0.58,2.9E-05,0.0025
RACGAP1,-0.38,3E-05,0.0025
SPSB1,0.42,3.1E-05,0.0026
BRCA1,-0.37,3.2E-05,0.0026
CCNG2,0.67,3.4E-05,0.0028
PNRC1,0.58,3.4E-05,0.0028
SERPINE1,1.1,3.4E-05,0.0028
STMN3,-0.57,3.4E-05,0.0028
CD46,-0.44,3.5E-05,0.0028
CDCA3,-0.47,3.5E-05,0.0028
ETS1,0.63,3.7E-05,0.0029
FEN1,-0.37,3.7E-05,0.0029
RHOU,-0.64,3.7E-05,0.0029
PPP1R3G,1.5,3.8E-05,0.0029
SH3BP2,0.67,3.8E-05,0.0029
AHRR,3.3,3.8E-05,0.003
FAM102A,0.72,3.9E-05,0.003
PDCD6-AHRR,-11,3.9E-05,0.003
FANCD2,-0.46,4E-05,0.003
RFC5,-0.45,4E-05,0.003
SLC6A6,0.48,4E-05,0.003
IGFBP3,-1.1,4.1E-05,0.0031
ITGA5,0.5,4.1E-05,0.0031
DDIT4,0.54,4.2E-05,0.0031
PPP1R15B,0.45,4.2E-05,0.0031
KCTD15,-0.4,4.5E-05,0.0033
TUBG1,-0.35,5.1E-05,0.0037
CENPO,-0.42,5.3E-05,0.0039
TBX3,0.48,5.3E-05,0.0039
TUBA1C,-0.35,5.4E-05,0.0039
BASP1,-0.52,5.5E-05,0.0039
NFKBIA,0.6,5.6E-05,0.0039
TNFRSF1A,0.32,5.6E-05,0.0039
IL17RC,0.5,5.7E-05,0.004
KCNE4,1.6,5.9E-05,0.0041
CDCA5,-0.43,6E-05,0.0042
PDE8A,-0.42,6.1E-05,0.0042
PLEKHA2,0.67,6.4E-05,0.0044
SYT12,0.57,6.5E-05,0.0044
CD109,0.35,6.5E-05,0.0045
GJA1,-0.55,6.6E-05,0.0045
PEX11A,0.83,6.6E-05,0.0045
ELANE,2.8,6.7E-05,0.0045
MYOCD,-0.69,6.7E-05,0.0045
IRF2BPL,0.78,6.8E-05,0.0045
SLC1A4,-0.52,6.9E-05,0.0046
TRIO,0.45,6.9E-05,0.0046
STOM,0.54,7E-05,0.0046
SLC12A2,-0.86,7.2E-05,0.0047
CABYR,-0.62,7.5E-05,0.0049
LTBR,0.32,7.7E-05,0.005
CYP2S1,-0.63,7.8E-05,0.0051
CEMIP,-1.6,7.9E-05,0.0051
ARL4C,-0.48,8.2E-05,0.0052
IGF2,1.4,8.2E-05,0.0052
TM4SF1,-0.69,8.2E-05,0.0052
AGPAT2,0.4,8.5E-05,0.0053
ENC1,-0.56,8.5E-05,0.0053
FADS1,-0.46,8.5E-05,0.0053
MBD4,-0.44,8.7E-05,0.0054
HSPB1,0.66,8.8E-05,0.0054
L1CAM,-1.1,9E-05,0.0056
ANXA3,-0.5,9.1E-05,0.0056
GIP,0.88,9.1E-05,0.0056
B4GALT5,0.42,9.5E-05,0.0058
ECH1,0.66,1E-04,0.006
LGSN,-0.59,1E-04,0.006
UGT2B7,1.4,1E-04,0.006
LPGAT1,-0.43,0.00011,0.0063
FMNL1,-0.56,0.00011,0.0065
FGD4,1.3,0.00011,0.0067
OR6C74,0.49,0.00011,0.0067
LIG1,-0.42,0.00012,0.0068
SLC38A2,0.41,0.00012,0.007
MFSD2A,-0.66,0.00012,0.0071
DOK4,-0.44,0.00012,0.0072
EMP2,0.57,0.00013,0.0073
PEG10,-0.48,0.00013,0.0073
SASH1,0.56,0.00013,0.0073
SPAG5,-0.38,0.00013,0.0073
ZNF395,0.47,0.00013,0.0073
SPRYD7,0.47,0.00013,0.0074
SLC26A2,0.57,0.00013,0.0075
STK17B,0.54,0.00013,0.0075
ECT2,-0.37,0.00014,0.008
MCM7,-0.36,0.00014,0.0081
EME1,-0.65,0.00015,0.0081
ADGRF4,0.75,0.00015,0.0082
MORC4,-0.7,0.00015,0.0084
CCND3,-0.47,0.00016,0.0085
SLC25A20,0.66,0.00016,0.0085
C1GALT1C1,0.48,0.00016,0.0087
PPP1R14D,-1.6,0.00016,0.0087
CTSL,-0.48,0.00016,0.0088
NOL3,0.4,0.00017,0.0089
SUSD2,-0.5,0.00017,0.0089
CHRDL2,-1.1,0.00017,0.0092
MYO10,-0.51,0.00017,0.0092
CLDN2,-0.98,0.00018,0.0093
FAM102B,-0.64,0.00018,0.0095
EDN3,2,0.00019,0.0098
TNFSF14,1.7,0.00019,0.0098
CSF1,1.2,0.00019,0.01
ARL4D,0.57,0.00021,0.011
C3,0.91,0.00021,0.011
CLCN4,0.7,0.00021,0.011
NEDD4,0.35,0.00021,0.011
SCNN1B,3.1,0.00021,0.011
TNIP1,0.39,0.00021,0.011
TSC22D1,-0.51,0.00021,0.011
FAM72D,-0.72,0.00022,0.011
IL17RE,1.2,0.00022,0.011
MAFF,0.7,0.00022,0.011
IFNGR1,0.47,0.00023,0.011
SGK2,0.88,0.00023,0.011
TYMS,-0.32,0.00023,0.011
DUSP1,0.73,0.00024,0.012
FAM187A,15,0.00024,0.012
NUP62CL,-0.51,0.00024,0.012
CYB5A,0.63,0.00025,0.012
ERRFI1,0.49,0.00025,0.012
NR2F6,0.4,0.00025,0.012
MARCHF4,-1.2,0.00026,0.012
ACAA2,0.52,0.00026,0.013
ETFA,0.42,0.00026,0.013
CABLES1,0.82,0.00027,0.013
HRK,1.5,0.00027,0.013
OXSR1,0.35,0.00027,0.013
PLIN1,2.4,0.00027,0.013
ADCY5,-1.7,0.00028,0.013
SLC6A15,1.4,0.00028,0.013
RNF145,0.31,0.00029,0.013
KDM7A,0.63,0.00029,0.014
DSCC1,-0.49,3E-04,0.014
HES1,-0.58,3E-04,0.014
MMAB,-0.39,3E-04,0.014
ZWINT,-0.31,3E-04,0.014
AURKB,-0.47,0.00031,0.014
PRICKLE2,-0.44,0.00031,0.014
RFTN1,-1.5,0.00031,0.014
TM4SF20,-0.47,0.00031,0.014
CSNK1D,0.27,0.00032,0.015
SMOX,-0.54,0.00033,0.015
ZNF281,0.38,0.00033,0.015
LEPROT,0.32,0.00034,0.015
TNFAIP2,0.33,0.00034,0.015
FADS3,0.42,0.00035,0.016
MT2A,0.84,0.00035,0.016
ARHGAP11A,-0.37,0.00036,0.016
ARHGAP17,0.53,0.00036,0.016
ADGRL1,0.65,0.00037,0.016
CLASP1,0.46,0.00037,0.016
DBF4,-0.42,0.00037,0.016
PDE10A,-0.69,0.00037,0.016
SOD2,0.43,0.00037,0.016
SPC25,-0.44,0.00037,0.016
PSPH,-0.34,0.00038,0.016
UNC5D,-1.4,0.00039,0.017
KIF2C,-0.46,4E-04,0.017
TMEM97,-0.4,4E-04,0.017
UGT2B11,1.4,0.00041,0.018
CASP9,-0.49,0.00042,0.018
UGCG,0.68,0.00042,0.018
VIPR1,2.7,0.00042,0.018
WDHD1,-0.41,0.00042,0.018
GAREM1,0.83,0.00043,0.018
PLA2G4A,-0.53,0.00043,0.018
FGF11,1.2,0.00044,0.019
SPTBN5,1.3,0.00044,0.019
YOD1,0.39,0.00044,0.019
CPEB4,0.5,0.00045,0.019
SMAD3,0.46,0.00045,0.019
POLA2,-0.51,0.00046,0.019
DNAJC12,-0.71,0.00047,0.019
CRYBG2,-1.2,0.00048,0.02
EZH2,-0.38,0.00048,0.02
MUC13,-0.93,0.00048,0.02
TRIP10,0.29,0.00049,0.02
TUBA4A,-0.44,0.00049,0.02
CDC25A,-0.39,5E-04,0.02
MELK,-0.36,5E-04,0.02
NEDD9,-0.64,0.00051,0.02
NR4A1,-1.2,0.00051,0.02
ANKS4B,-0.84,0.00052,0.021
GRB7,-0.47,0.00053,0.021
NEGR1,-1.1,0.00053,0.021
RXRA,0.61,0.00053,0.021
FUT8,-0.37,0.00054,0.021
JUNB,0.51,0.00054,0.021
GPCPD1,-0.62,0.00055,0.022
TACC2,-0.39,0.00055,0.022
BTBD16,-1.7,0.00056,0.022
SCD,-0.58,0.00057,0.022
CES4A,1,0.00058,0.023
PASK,-0.45,0.00059,0.023
SFRP1,-0.38,0.00059,0.023
VGLL3,-0.49,0.00059,0.023
RFFL,0.29,6E-04,0.023
FANCG,-0.37,0.00064,0.024
HMGN2,-0.35,0.00064,0.024
SPDEF,-0.7,0.00064,0.025
POGLUT3,-0.47,0.00065,0.025
SRI,0.31,0.00066,0.025
DIRAS3,-1.4,0.00067,0.025
LRP8,-0.35,0.00067,0.025
PFKP,0.33,0.00068,0.026
ZNF775,0.7,0.00069,0.026
ATXN3,0.38,7E-04,0.026
LZTR1,0.29,7E-04,0.026
C2orf72,-0.48,0.00071,0.026
PCNA,-0.32,0.00071,0.026
UBE2T,-0.34,0.00071,0.026
PBK,-0.51,0.00072,0.026
DHCR24,0.35,0.00072,0.027
CCL24,-2.1,0.00073,0.027
GMIP,0.65,0.00073,0.027
HASPIN,-0.49,0.00073,0.027
HSDL2,0.35,0.00075,0.027
URB1,-0.52,0.00075,0.027
C1R,0.44,0.00076,0.028
GCOM1,1.4,0.00076,0.028
PNMA2,0.26,0.00076,0.028
CAST,-0.56,0.00079,0.029
PITPNM1,-0.44,0.00081,0.029
FBXL19,0.31,0.00082,0.029
LDHA,0.33,0.00082,0.029
AREG,-0.6,0.00084,0.03
MEAK7,0.42,0.00084,0.03
APEX2,-0.32,0.00085,0.03
DHRS2,-0.87,0.00085,0.03
NPAS1,0.75,0.00085,0.03
VAT1,0.34,0.00086,0.03
FAM177A1,0.28,0.00087,0.031
WWTR1,-0.39,0.00087,0.031
FAIM,0.45,0.00088,0.031
C11orf68,0.49,0.00089,0.031
ADGRG6,0.31,9E-04,0.031
HLA-DMB,-0.98,9E-04,0.031
IFT122,-0.49,9E-04,0.031
RFC2,-0.38,9E-04,0.031
TNFRSF19,-0.98,0.00091,0.031
GCNT1,-0.95,0.00092,0.031
HSBP1L1,0.49,0.00092,0.031
SLC9A3R2,0.47,0.00092,0.031
ZNF367,-0.42,0.00092,0.031
WDFY2,0.38,0.00093,0.032
DNAH5,1,0.00094,0.032
DACT2,-1.5,0.00095,0.032
FGFR4,-0.83,0.00096,0.032
FOSB,-1.2,0.00096,0.032
NR2F1,0.69,0.00096,0.032
AHDC1,1.2,0.00097,0.032
IKBKGP1,-14,0.00099,0.033
PPL,1,0.00099,0.033
SMAD7,0.34,0.00099,0.033
E2F8,-0.86,0.001,0.033
PRKCE,-0.46,0.001,0.033
STC1,-0.72,0.001,0.033
CENPF,-0.3,0.001,0.034
GAB2,-0.63,0.001,0.034
RNF103,0.39,0.001,0.034
SMAD2,-0.36,0.001,0.034
COL4A6,0.39,0.0011,0.034
PRC1,-0.32,0.0011,0.034
ZSWIM6,-0.39,0.0011,0.034
ANKRD27,0.38,0.0011,0.035
ANTXR1,-0.42,0.0011,0.035
AURKA,-0.44,0.0011,0.035
CCNA2,-0.3,0.0011,0.035
MLLT11,-0.31,0.0011,0.035
RCAN3,0.36,0.0011,0.035
STXBP5,0.46,0.0011,0.035
ALDH1A3,1.3,0.0011,0.036
HSD17B11,0.46,0.0011,0.036
PROCA1,-0.86,0.0011,0.036
STAC2,1.8,0.0011,0.036
IQSEC2,0.36,0.0012,0.036
LIMK2,-0.55,0.0012,0.036
APLN,1.8,0.0012,0.037
FBXL16,0.98,0.0012,0.037
PLPP1,0.36,0.0012,0.037
GALNT18,0.76,0.0012,0.038
MUC1,0.83,0.0012,0.038
KIF18A,-0.36,0.0012,0.039
RGS3,-0.36,0.0012,0.039
KCTD1,0.52,0.0013,0.039
NABP1,0.37,0.0013,0.039
SNAP25,-0.57,0.0013,0.039
SOX9,-1.2,0.0013,0.039
TPRA1,0.77,0.0013,0.039
ASB4,-0.79,0.0013,0.04
KCNJ12,1.2,0.0013,0.04
SNX8,0.35,0.0013,0.04
MEGF6,1.1,0.0014,0.042
CDCA8,-0.35,0.0014,0.043
C4BPB,1.5,0.0015,0.044
GGT4P,1.2,0.0015,0.044
IGF2BP3,0.42,0.0015,0.044
IRF1,0.37,0.0015,0.044
VTN,-0.83,0.0015,0.044
ZBTB7B,0.33,0.0015,0.044
GALNT13,-0.4,0.0015,0.045
ACSL4,0.3,0.0015,0.046
AKAP12,0.53,0.0015,0.046
SGK1,-0.78,0.0016,0.046
FMNL2,0.32,0.0016,0.047
PLK2,-0.4,0.0016,0.047
RASGRP3,-1.2,0.0016,0.047
RNASEH2A,-0.36,0.0016,0.047
SHC1,0.28,0.0016,0.047
TICAM1,0.55,0.0016,0.047
TMEM102,0.52,0.0016,0.047
LRFN1,0.51,0.0016,0.048
NEK2,-0.38,0.0016,0.048
SERTAD2,0.48,0.0016,0.048
NR3C1,0.33,0.0017,0.048
SOX12,0.38,0.0017,0.048
FOXA3,-0.97,0.0017,0.049
INSL4,-0.92,0.0017,0.049
PSMC3IP,-0.53,0.0017,0.049
STMN1,-0.3,0.0017,0.049
DTX2,-0.46,0.0017,0.05
IFT43,-0.44,0.0017,0.05
CENPL,-0.43,0.0018,0.05
AHCYL2,-0.38,0.0018,0.051
GOLGA7B,0.74,0.0018,0.051
ORC6,-0.31,0.0018,0.051
PKN1,0.34,0.0018,0.051
RASD1,-1.5,0.0018,0.051
RHOBTB1,-0.39,0.0018,0.051
ZGRF1,-0.57,0.0018,0.051
FADS2,-0.36,0.0018,0.052
EXOSC9,-0.34,0.0019,0.052
BRCA2,-0.55,0.0019,0.053
CRY2,0.48,0.0019,0.053
GPRC5C,0.43,0.0019,0.053
ASF1B,-0.37,0.0019,0.054
PHF19,-0.31,0.0019,0.054
AKR1A1,-0.3,0.002,0.054
ANPEP,0.87,0.002,0.054
ARL5B,0.3,0.002,0.055
LHX4,1.2,0.002,0.055
MLPH,-0.33,0.002,0.055
BNIP3L,0.36,0.002,0.056
INO80C,-0.39,0.002,0.056
CDC14B,0.49,0.0021,0.056
DUX4L9,1.4,0.0021,0.056
NEXN,0.85,0.0021,0.056
SIRT6,0.38,0.0021,0.056
SLC47A2,1.9,0.0021,0.056
PCDH9,0.42,0.0021,0.057
PDLIM5,-0.48,0.0021,0.057
SCARA3,-0.42,0.0021,0.057
TMEM171,1.4,0.0021,0.057
CCNE2,-0.6,0.0022,0.059
CPB2,1.6,0.0022,0.059
DEPP1,-2,0.0022,0.059
KDM3A,0.35,0.0022,0.059
NPIPB4,-0.85,0.0022,0.059
BTG1,0.32,0.0023,0.06
CYLD,0.36,0.0023,0.061
NCOA7,0.41,0.0023,0.061
STEAP1,-0.65,0.0023,0.061
GINS2,-0.4,0.0024,0.062
ILRUN,0.35,0.0024,0.062
KRT7,0.31,0.0024,0.062
CEBPB,0.46,0.0024,0.063
DCAF12,0.27,0.0024,0.063
IL6ST,0.24,0.0024,0.063
SMC2,-0.27,0.0024,0.063
SNCG,0.53,0.0025,0.065
STEAP2,-0.65,0.0025,0.065
CAPN2,0.38,0.0026,0.066
CDCA7,-0.37,0.0026,0.066
CENPU,-0.32,0.0026,0.066
DCLRE1C,-0.37,0.0026,0.066
HHAT,-0.53,0.0026,0.066
HMGCS1,0.36,0.0026,0.066
RBPMS,0.43,0.0026,0.067
TBC1D4,-0.41,0.0026,0.067
PIM1,0.38,0.0027,0.068
STIL,-0.41,0.0027,0.068
C1orf216,0.4,0.0027,0.069
KIF4A,-0.33,0.0027,0.07
DHFR,-0.32,0.0028,0.07
FANCA,-0.32,0.0028,0.07
GPRIN2,0.27,0.0028,0.07
PLAUR,-0.45,0.0028,0.07
SMIM13,-0.33,0.0028,0.07
STARD13,0.6,0.0028,0.07
RNF125,-1.3,0.0028,0.071
FGF2,0.46,0.0029,0.072
PAQR3,-0.39,0.0029,0.072
SELENOW,-0.3,0.0029,0.072
TRIM25,0.43,0.0029,0.072
TUBB6,-0.24,0.0029,0.072
FRMD8,0.37,0.0029,0.073
ANKRD50,0.52,0.003,0.074
CEP55,-0.33,0.003,0.074
KIF22,-0.31,0.003,0.074
SFR1,-0.5,0.003,0.074
KNTC1,-0.32,0.003,0.075
SPEN,0.44,0.003,0.075
GCLC,0.36,0.0031,0.075
MGST1,0.33,0.0031,0.076
CYGB,0.72,0.0032,0.077
MAP7D1,0.31,0.0032,0.077
CACNA2D3,2.5,0.0032,0.078
EDAR,2,0.0032,0.078
FILIP1,-0.87,0.0032,0.078
IGFBP1,1,0.0032,0.078
RAB3B,-0.59,0.0032,0.078
SIRT2,0.35,0.0032,0.078
ZNF786,0.4,0.0032,0.078
DPY19L2P3,0.64,0.0033,0.078
GLIS3,0.41,0.0033,0.078
KNL1,-0.3,0.0033,0.078
SWT1,0.92,0.0033,0.078
ANGPT1,0.79,0.0033,0.079
CIPC,0.46,0.0033,0.079
GXYLT1,-0.33,0.0033,0.079
TAS2R4,-1.6,0.0033,0.079
GLA,-0.28,0.0034,0.08
SMC4,-0.28,0.0034,0.081
ATP10A,0.43,0.0035,0.082
ZCWPW1,-0.78,0.0035,0.082
CLMN,0.6,0.0035,0.083
PON2,0.26,0.0035,0.083
COL17A1,-1.2,0.0036,0.084
GATA5,1.4,0.0036,0.084
PIAS4,0.36,0.0036,0.084
PLIN3,0.24,0.0036,0.084
BCAS1,-0.89,0.0036,0.085
CNTN1,-0.48,0.0036,0.085
MYBL2,-0.28,0.0036,0.085
PALM2AKAP2,0.5,0.0036,0.085
ASPM,-0.29,0.0037,0.085
CFAP298-TCP10L,-1,0.0037,0.085
ITGB6,0.94,0.0037,0.085
ULK1,0.39,0.0037,0.085
ESCO2,-0.37,0.0037,0.086
FAM20B,-0.26,0.0037,0.086
KHNYN,0.28,0.0037,0.086
CAVIN3,0.41,0.0038,0.086
RWDD2A,0.51,0.0038,0.086
SEPTIN4,0.72,0.0038,0.086
SH3GL1,0.28,0.0038,0.086
CCNB1,-0.37,0.0038,0.087
C1RL,0.25,0.0039,0.088
GPR160,-0.48,0.0039,0.088
ISM1,-1.3,0.0039,0.088
PRELID2,-0.49,0.0039,0.088
RAET1G,-0.57,0.0039,0.088
COL4A5,0.28,0.004,0.09
FOXS1,-1.5,0.004,0.09
IPMK,0.3,0.004,0.09
PAK4,0.31,0.004,0.09
RAP1GAP2,0.46,0.004,0.09
ANXA9,-0.65,0.0041,0.091
CSGALNACT1,-0.42,0.0041,0.091
DNAJB1,-0.23,0.0041,0.092
HSD11B1,2.2,0.0041,0.092
RDM1,-0.87,0.0042,0.092
SPTB,0.78,0.0042,0.092
ARFGAP3,-0.3,0.0042,0.093
DIXDC1,0.42,0.0043,0.094
KCNK3,-0.47,0.0043,0.094
MEX3A,0.52,0.0043,0.094
MYO19,-0.22,0.0043,0.095
LRP5,0.44,0.0044,0.097
SLC16A3,0.41,0.0044,0.097
ABCB6,-0.3,0.0045,0.098
BMPER,-0.67,0.0045,0.098
ENOX1,1.2,0.0045,0.098
HELLS,-0.27,0.0045,0.098
IL33,-1.7,0.0045,0.098
IRAK1,0.29,0.0045,0.098
KDM1A,0.29,0.0045,0.098
VDR,1.4,0.0045,0.098
ARRB1,0.63,0.0046,0.098
description:tropomyosin,-0.49,0.0046,0.098
HDAC7,0.34,0.0046,0.098
KIAA1549,0.55,0.0046,0.098
KIF15,-0.38,0.0046,0.098
MCM8,-0.26,0.0046,0.098
FLVCR1,-0.4,0.0046,0.099
ABHD8,0.49,0.0047,0.1
BYSL,-0.3,0.0047,0.1
ELFN2,0.55,0.0047,0.1
MDK,-0.44,0.0047,0.1
PAPLN,-0.49,0.0047,0.1
PLAGL1,0.45,0.0047,0.1
POLQ,-0.37,0.0047,0.1
RABEP2,0.3,0.0047,0.1
BAG3,0.46,0.0048,0.1
MGAT5B,-0.72,0.0048,0.1
QPCTL,-0.41,0.0048,0.1
RETSAT,0.3,0.0048,0.1
UBE2C,-0.3,0.0048,0.1
CREB5,-0.97,0.0049,0.1
DEGS2,-1,0.0049,0.1
LSM12P1,0.75,0.0049,0.1
MYORG,-0.59,0.0049,0.1
PIGA,-0.44,0.0049,0.1
BCL6,0.53,0.005,0.1
DIPK1B,0.43,0.005,0.1
DUSP5,-0.64,0.005,0.1
GTF2IRD1,0.38,0.005,0.1
LIX1L,0.35,0.005,0.1
TBC1D14,-0.33,0.005,0.1
NCMAP,1.1,0.0051,0.1
PDE4A,0.62,0.0051,0.1
EDIL3,-1.5,0.0051,0.11
IRF2,0.32,0.0051,0.11
CDC45,-0.34,0.0052,0.11
CMTM3,0.4,0.0052,0.11
PWWP2B,0.38,0.0052,0.11
CA12,-0.34,0.0053,0.11
